model,benchmark,stratifier,ensemble,iv_gap,iv_se,z,p_one,p_two,n_strata
Qwen/Qwen2.5-7B,arc_challenge,random_1,v2,-0.09999999999999998,0.019824558013652693,-5.044248650140518,2.276534520044139e-07,4.553069040088278e-07,1
Qwen/Qwen2.5-7B,arc_challenge,random_3,v2,-0.09359605911330049,0.0204933986994895,-4.567132103648186,2.4722121261310254e-06,4.944424252262051e-06,1
allenai/OLMo-2-1124-7B,gsm8k_test,kmeans4,v2,-0.15792645532070687,0.04931922731434294,-3.20212752552145,0.0006820829601174435,0.001364165920234887,4
allenai/OLMo-2-1124-7B,gsm8k_test,len_quintile,v2,-0.16472670752565433,0.05323478886397833,-3.0943432112889946,0.0009862458002773589,0.0019724916005547178,5
allenai/OLMo-2-1124-7B,gsm8k_test,pred_acc,v2,-0.16831575416744818,0.05231648195076745,-3.217260562853636,0.0006471050111854308,0.0012942100223708615,4
allenai/OLMo-2-1124-7B,gsm8k_test,random_0,v2,-0.1643645247216308,0.05248152884210059,-3.131854737238102,0.0008685289858369834,0.0017370579716739667,4
allenai/OLMo-2-1124-7B,gsm8k_test,random_1,v2,-0.16870806485045056,0.05409922489723173,-3.118493197840315,0.0009088916894275845,0.001817783378855169,4
allenai/OLMo-2-1124-7B,gsm8k_test,random_2,v2,-0.16742446514861073,0.053710747537039,-3.1171501575760905,0.0009130426812212244,0.0018260853624424487,4
allenai/OLMo-2-1124-7B,gsm8k_test,random_3,v2,-0.151373273473018,0.05439648304834019,-2.782776844938634,0.00269479310025731,0.00538958620051462,4
allenai/OLMo-2-1124-7B,gsm8k_test,random_4,v2,-0.16162495726789133,0.05437652351818508,-2.9723297263356545,0.001477745472434574,0.002955490944869148,4
allenai/OLMo-2-1124-7B,truthfulqa_mc,len_quintile,v2,0.23667377398720682,0.1944065068576229,1.2174169363607728,0.8882771887965034,0.22344562240699317,1
allenai/OLMo-2-1124-7B,truthfulqa_mc,pred_acc,v2,0.17582417582417587,0.1917679500465512,0.916859025616611,0.8203917412383961,0.3592165175232078,1
allenai/OLMo-2-1124-7B,truthfulqa_mc,random_0,v2,0.2653333333333333,0.172501062279208,1.5381547790347412,0.9379946125970321,0.12401077480593581,1
allenai/OLMo-2-1124-7B,truthfulqa_mc,random_3,v2,0.24715447154471543,0.2050031457200125,1.205613068407604,0.8860166410440242,0.22796671791195156,1
meta-llama/Llama-3.1-8B,mmlu_test,kmeans4,v2,-0.2906976744186046,0.049252355752105854,-5.90220853357203,1.7933370182829423e-09,3.5866740365658846e-09,1
meta-llama/Llama-3.1-8B,mmlu_test,len_quintile,v2,-0.3090909090909091,0.03608541011573964,-8.565536822209777,5.378674029143028e-18,1.0757348058286056e-17,1
meta-llama/Llama-3.1-8B,mmlu_test,pred_acc,v2,-0.33333333333333337,0.0323761954119088,-10.295630140987003,3.6867601709814113e-25,7.373520341962823e-25,1
meta-llama/Llama-3.1-8B,arc_challenge,kmeans4,v2,0.02777777777777779,0.16610123107788202,0.16723402709010185,0.5664070441692353,0.8671859116615295,1
meta-llama/Llama-3.1-8B,arc_challenge,len_quintile,v2,0.008064516129032251,0.16815704919015742,0.04795824003733935,0.5191252380454112,0.9617495239091776,1
meta-llama/Llama-3.1-8B,arc_challenge,pred_acc,v2,0.026397515527950333,0.1669453259888597,0.15812072228791746,0.5628191640011615,0.874361671997677,1
meta-llama/Llama-3.1-8B,arc_challenge,random_0,v2,0.08481262327416172,0.21343875046203487,0.3973628176259758,0.6544500347899527,0.6910999304200947,1
meta-llama/Llama-3.1-8B,arc_challenge,random_2,v2,0.062146892655367214,0.21346527524311082,0.291133499744113,0.614525390019692,0.770949219960616,1
