model,benchmark,ensemble,full_n,full_acc,clean_n,clean_acc,clean_ci_low,clean_ci_high,contam_n,contam_acc,contam_ci_low,contam_ci_high,clean_minus_contam
Qwen/Qwen2.5-7B,arc_challenge,v1,1000,0.891,134,0.8507462686567164,0.7910447761194029,0.9104477611940298,214,0.8551401869158879,0.8037383177570093,0.9018691588785047,-0.004393918259171459
Qwen/Qwen2.5-7B,arc_challenge,v2,1000,0.891,815,0.901840490797546,0.8809815950920246,0.9214723926380368,14,0.9285714285714286,0.7857142857142857,1.0,-0.02673093777388258
Qwen/Qwen2.5-7B,humaneval,v1,164,0.09146341463414634,0,,,,162,0.09259259259259259,0.04938271604938271,0.13580246913580246,
Qwen/Qwen2.5-7B,humaneval,v2,164,0.09146341463414634,1,0.0,0.0,0.0,102,0.0784313725490196,0.029411764705882353,0.13725490196078433,-0.0784313725490196
allenai/OLMo-2-1124-7B,gsm8k_test,v1,1000,0.307,3,0.3333333333333333,0.0,1.0,840,0.31547619047619047,0.2845238095238095,0.3476190476190476,0.01785714285714285
allenai/OLMo-2-1124-7B,gsm8k_test,v2,1000,0.307,205,0.25853658536585367,0.2,0.3170731707317073,126,0.42063492063492064,0.3412698412698413,0.5079365079365079,-0.16209833526906697
allenai/OLMo-2-1124-7B,mmlu_test,v1,969,0.587203302373581,287,0.6167247386759582,0.5574912891986062,0.6724738675958188,65,0.5384615384615384,0.4153846153846154,0.6615384615384615,0.07826320021441979
allenai/OLMo-2-1124-7B,mmlu_test,v2,969,0.587203302373581,914,0.5886214442013129,0.5590809628008753,0.6203501094091903,0,,,,
allenai/OLMo-2-1124-7B,hellaswag_val,v1,1000,0.569,438,0.5342465753424658,0.4863013698630137,0.5799086757990868,0,,,,
allenai/OLMo-2-1124-7B,hellaswag_val,v2,1000,0.569,1000,0.569,0.54,0.599,0,,,,
allenai/OLMo-2-1124-7B,arc_challenge,v1,1000,0.762,121,0.7603305785123967,0.6859504132231405,0.8347107438016529,208,0.7211538461538461,0.6586538461538461,0.7788461538461539,0.03917673235855057
allenai/OLMo-2-1124-7B,arc_challenge,v2,1000,0.762,812,0.770935960591133,0.7426108374384236,0.8017241379310345,2,1.0,1.0,1.0,-0.229064039408867
allenai/OLMo-2-1124-7B,humaneval,v1,164,0.042682926829268296,2,0.0,0.0,0.0,93,0.043010752688172046,0.010752688172043012,0.08602150537634409,-0.043010752688172046
allenai/OLMo-2-1124-7B,humaneval,v2,164,0.042682926829268296,74,0.04054054054054054,0.0,0.0945945945945946,2,0.0,0.0,0.0,0.04054054054054054
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,gsm8k_test,v1,1000,0.097,252,0.12698412698412698,0.0873015873015873,0.16666666666666666,70,0.07142857142857142,0.014285714285714285,0.14285714285714285,0.05555555555555555
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,gsm8k_test,v2,1000,0.097,956,0.09937238493723849,0.08054393305439331,0.1192468619246862,0,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,mmlu_test,v1,969,0.5283797729618163,912,0.5317982456140351,0.5,0.5635964912280702,1,1.0,1.0,1.0,-0.4682017543859649
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,mmlu_test,v2,969,0.5283797729618163,968,0.5278925619834711,0.49483471074380164,0.5588842975206612,0,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hellaswag_val,v1,1000,0.425,1000,0.425,0.395,0.4560249999999999,0,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hellaswag_val,v2,1000,0.425,1000,0.425,0.395,0.4560249999999999,0,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,arc_challenge,v1,1000,0.689,835,0.6934131736526946,0.6622754491017964,0.7233532934131737,5,0.8,0.4,1.0,-0.10658682634730543
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,arc_challenge,v2,1000,0.689,997,0.6880641925777332,0.6609829488465396,0.7161735205616849,0,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,humaneval,v1,164,0.054878048780487805,24,0.08333333333333333,0.0,0.20833333333333334,28,0.03571428571428571,0.0,0.10714285714285714,0.047619047619047616
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,humaneval,v2,164,0.054878048780487805,137,0.058394160583941604,0.021897810218978103,0.10218978102189781,0,,,,
google/gemma-2-9b,gsm8k_test,v1,1000,0.668,370,0.7513513513513513,0.7081081081081081,0.7945945945945946,74,0.40540540540540543,0.2972972972972973,0.5135135135135135,0.3459459459459459
google/gemma-2-9b,gsm8k_test,v2,1000,0.668,951,0.6813880126182965,0.650893796004206,0.711882229232387,0,,,,
google/gemma-2-9b,mmlu_test,v1,969,0.6749226006191951,929,0.6759956942949408,0.6469321851453176,0.7050592034445641,1,1.0,1.0,1.0,-0.3240043057050592
google/gemma-2-9b,mmlu_test,v2,969,0.6749226006191951,969,0.6749226006191951,0.6439628482972136,0.7048761609907119,0,,,,
google/gemma-2-9b,hellaswag_val,v1,1000,0.641,1000,0.641,0.611,0.669,0,,,,
google/gemma-2-9b,hellaswag_val,v2,1000,0.641,1000,0.641,0.611,0.669,0,,,,
google/gemma-2-9b,arc_challenge,v1,1000,0.9,896,0.9129464285714286,0.8939732142857143,0.9308035714285714,5,0.8,0.4,1.0,0.11294642857142856
google/gemma-2-9b,arc_challenge,v2,1000,0.9,997,0.9007021063189569,0.8816449348044132,0.9177783350050148,0,,,,
google/gemma-2-9b,humaneval,v1,164,0.07317073170731707,42,0.09523809523809523,0.023809523809523808,0.19047619047619047,19,0.05263157894736842,0.0,0.15789473684210525,0.042606516290726815
google/gemma-2-9b,humaneval,v2,164,0.07317073170731707,149,0.0738255033557047,0.03355704697986577,0.11409395973154363,0,,,,
meta-llama/Llama-3.1-8B,gsm8k_test,v1,1000,0.184,69,0.2608695652173913,0.15942028985507245,0.36231884057971014,229,0.09606986899563319,0.0611353711790393,0.13537117903930132,0.1647996962217581
meta-llama/Llama-3.1-8B,gsm8k_test,v2,1000,0.184,827,0.20435308343409916,0.17654171704957677,0.23098548972188618,0,,,,
meta-llama/Llama-3.1-8B,mmlu_test,v1,969,0.6439628482972136,340,0.6617647058823529,0.6147058823529412,0.711764705882353,49,0.5918367346938775,0.4489795918367347,0.7346938775510204,0.06992797118847538
meta-llama/Llama-3.1-8B,mmlu_test,v2,969,0.6439628482972136,931,0.6412459720730398,0.6133190118152524,0.6723952738990333,6,1.0,1.0,1.0,-0.3587540279269602
meta-llama/Llama-3.1-8B,hellaswag_val,v1,1000,0.413,923,0.4171180931744312,0.38461538461538464,0.4496208017334778,0,,,,
meta-llama/Llama-3.1-8B,hellaswag_val,v2,1000,0.413,1000,0.413,0.382,0.444,0,,,,
meta-llama/Llama-3.1-8B,arc_challenge,v1,1000,0.788,67,0.8507462686567164,0.7611940298507462,0.9253731343283582,313,0.7763578274760383,0.7284345047923323,0.8242811501597445,0.07438844118067811
meta-llama/Llama-3.1-8B,arc_challenge,v2,1000,0.788,726,0.7920110192837465,0.7617079889807162,0.8223140495867769,14,0.7142857142857143,0.5,0.9285714285714286,0.07772530499803221
meta-llama/Llama-3.1-8B,humaneval,v1,164,0.09146341463414634,0,,,,145,0.0896551724137931,0.041379310344827586,0.13793103448275862,
meta-llama/Llama-3.1-8B,humaneval,v2,164,0.09146341463414634,19,0.10526315789473684,0.0,0.2631578947368421,24,0.16666666666666666,0.041666666666666664,0.3333333333333333,-0.06140350877192982
microsoft/phi-4,gsm8k_test,v1,1000,0.443,42,0.5952380952380952,0.4523809523809524,0.7380952380952381,494,0.354251012145749,0.3117408906882591,0.39473684210526316,0.24098708309234623
microsoft/phi-4,gsm8k_test,v2,1000,0.443,589,0.5008488964346349,0.4601018675721562,0.5415959252971138,7,0.2857142857142857,0.0,0.5714285714285714,0.21513461072034923
microsoft/phi-4,mmlu_test,v1,969,0.7327141382868937,440,0.8,0.7613636363636364,0.8386363636363636,79,0.6329113924050633,0.5189873417721519,0.7341772151898734,0.1670886075949367
microsoft/phi-4,mmlu_test,v2,969,0.7327141382868937,908,0.7400881057268722,0.711453744493392,0.7676211453744494,6,0.5,0.16666666666666666,0.8333333333333334,0.24008810572687223
microsoft/phi-4,hellaswag_val,v1,1000,0.034,372,0.051075268817204304,0.02956989247311828,0.07526881720430108,22,0.0,0.0,0.0,0.051075268817204304
microsoft/phi-4,hellaswag_val,v2,1000,0.034,990,0.03434343434343434,0.023232323232323233,0.047474747474747475,0,,,,
microsoft/phi-4,arc_challenge,v1,1000,0.263,40,0.3,0.17437500000000003,0.45,407,0.31203931203931207,0.2677518427518428,0.35872235872235875,-0.012039312039312078
microsoft/phi-4,arc_challenge,v2,1000,0.263,637,0.23861852433281006,0.20565149136577707,0.271585557299843,30,0.3333333333333333,0.16666666666666666,0.5,-0.09471480900052326
microsoft/phi-4,humaneval,v1,164,0.10365853658536585,2,0.0,0.0,0.0,134,0.11940298507462686,0.06716417910447761,0.1791044776119403,-0.11940298507462686
microsoft/phi-4,humaneval,v2,164,0.10365853658536585,33,0.030303030303030304,0.0,0.09090909090909091,20,0.05,0.0,0.15,-0.0196969696969697
mistralai/Mistral-7B-v0.3,gsm8k_test,v1,1000,0.095,1,1.0,1.0,1.0,704,0.07528409090909091,0.056818181818181816,0.09520596590909071,0.9247159090909091
mistralai/Mistral-7B-v0.3,gsm8k_test,v2,1000,0.095,400,0.1375,0.1025,0.1725,12,0.0,0.0,0.0,0.1375
mistralai/Mistral-7B-v0.3,mmlu_test,v1,969,0.49019607843137253,167,0.6047904191616766,0.5329341317365269,0.6766467065868264,102,0.3333333333333333,0.24509803921568626,0.43137254901960786,0.2714570858283433
mistralai/Mistral-7B-v0.3,mmlu_test,v2,969,0.49019607843137253,888,0.5033783783783784,0.46959459459459457,0.536036036036036,5,0.8,0.4,1.0,-0.29662162162162165
mistralai/Mistral-7B-v0.3,hellaswag_val,v1,1000,0.339,427,0.36768149882903983,0.32084309133489464,0.41217798594847777,1,1.0,1.0,1.0,-0.6323185011709602
mistralai/Mistral-7B-v0.3,hellaswag_val,v2,1000,0.339,1000,0.339,0.311,0.368,0,,,,
mistralai/Mistral-7B-v0.3,arc_challenge,v1,1000,0.725,81,0.6419753086419753,0.5432098765432098,0.7407407407407407,205,0.6634146341463415,0.5951219512195122,0.7268292682926829,-0.021439325504366225
mistralai/Mistral-7B-v0.3,arc_challenge,v2,1000,0.725,833,0.7382953181272509,0.7070828331332533,0.7671068427370948,2,0.5,0.0,1.0,0.2382953181272509
mistralai/Mistral-7B-v0.3,humaneval,v1,164,0.08536585365853659,4,0.5,0.0,1.0,121,0.0743801652892562,0.03305785123966942,0.12396694214876033,0.4256198347107438
mistralai/Mistral-7B-v0.3,humaneval,v2,164,0.08536585365853659,51,0.09803921568627451,0.0196078431372549,0.17647058823529413,11,0.18181818181818182,0.0,0.45454545454545453,-0.08377896613190731
