model,benchmark,detector,n_clean,n_contam,clean_acc,contam_acc,obs_gap,ci_low,ci_high,perm_p
EleutherAI__pythia-2.8b,hellaswag_val,mink_10,500,500,0.158,0.242,-0.08399999999999999,-0.13400000000000004,-0.032,0.0002
EleutherAI__pythia-2.8b,hellaswag_val,mink_20,500,500,0.152,0.248,-0.096,-0.14400000000000002,-0.04600000000000001,0.0002
EleutherAI__pythia-2.8b,hellaswag_val,mink_30,500,500,0.154,0.246,-0.092,-0.14200000000000002,-0.04400000000000001,0.0
EleutherAI__pythia-2.8b,hellaswag_val,mink_50,500,500,0.158,0.242,-0.08399999999999999,-0.134,-0.034,0.0004
EleutherAI__pythia-2.8b,arc_challenge,mink_5,500,500,0.228,0.264,-0.036000000000000004,-0.09,0.015999999999999986,0.105
EleutherAI__pythia-2.8b,arc_challenge,mink_10,500,500,0.224,0.268,-0.04400000000000001,-0.1,0.010000000000000009,0.0634
EleutherAI__pythia-2.8b,arc_challenge,mink_20,500,500,0.242,0.25,-0.008000000000000007,-0.062,0.04400000000000001,0.42
EleutherAI__pythia-2.8b,arc_challenge,mink_30,500,500,0.236,0.256,-0.020000000000000018,-0.06999999999999998,0.030000000000000027,0.2508
EleutherAI__pythia-2.8b,arc_challenge,mink_50,500,500,0.242,0.25,-0.008000000000000007,-0.06399999999999997,0.04600000000000001,0.418
EleutherAI__pythia-2.8b,humaneval,mink_5,82,82,0.036585365853658534,0.024390243902439025,0.01219512195121951,-0.03658536585365854,0.06097560975609757,0.8136
EleutherAI__pythia-2.8b,humaneval,mink_10,82,82,0.04878048780487805,0.012195121951219513,0.03658536585365854,-0.012195121951219513,0.08536585365853659,0.9724
EleutherAI__pythia-2.8b,humaneval,mink_20,82,82,0.04878048780487805,0.012195121951219513,0.03658536585365854,-0.012195121951219513,0.08536585365853659,0.9694
EleutherAI__pythia-2.8b,humaneval,mink_30,82,82,0.04878048780487805,0.012195121951219513,0.03658536585365854,-0.012195121951219513,0.08536585365853659,0.9694
EleutherAI__pythia-2.8b,humaneval,mink_50,82,82,0.04878048780487805,0.012195121951219513,0.03658536585365854,-0.012195121951219513,0.08536585365853659,0.9726
EleutherAI__pythia-410m,gsm8k_test,mink_5,500,500,0.012,0.008,0.004,-0.008,0.016,0.839
EleutherAI__pythia-410m,gsm8k_test,mink_10,500,500,0.014,0.006,0.008,-0.004,0.020049999999999728,0.9416
EleutherAI__pythia-410m,gsm8k_test,mink_20,500,500,0.014,0.006,0.008,-0.004,0.02,0.943
EleutherAI__pythia-410m,gsm8k_test,mink_30,500,500,0.016,0.004,0.012,0.0,0.024,0.9886
EleutherAI__pythia-410m,gsm8k_test,mink_50,500,500,0.014,0.006,0.008,-0.004,0.02,0.945
EleutherAI__pythia-410m,mmlu_test,mink_5,484,485,0.17768595041322313,0.18762886597938144,-0.009942915566158311,-0.05947441850558062,0.0395842208400784,0.3602
EleutherAI__pythia-410m,mmlu_test,mink_10,484,485,0.1756198347107438,0.18969072164948453,-0.014070886938740729,-0.06153190764249808,0.035456249467495954,0.3046
EleutherAI__pythia-410m,mmlu_test,mink_20,484,485,0.1797520661157025,0.18556701030927836,-0.005814944193575866,-0.05741682286785381,0.04168878333475333,0.4284
EleutherAI__pythia-410m,mmlu_test,mink_30,484,485,0.19008264462809918,0.17525773195876287,0.014824912669336304,-0.03677270597256539,0.0643436355116299,0.7532
EleutherAI__pythia-410m,mmlu_test,mink_50,484,485,0.1921487603305785,0.1731958762886598,0.01895288404191872,-0.030591292493822947,0.0685060066456505,0.8086
EleutherAI__pythia-410m,hellaswag_val,mink_5,500,500,0.014,0.02,-0.006,-0.022,0.009999999999999998,0.3284
EleutherAI__pythia-410m,hellaswag_val,mink_10,500,500,0.002,0.032,-0.03,-0.046,-0.014,0.0006
EleutherAI__pythia-410m,hellaswag_val,mink_20,500,500,0.002,0.032,-0.03,-0.046,-0.014,0.0
EleutherAI__pythia-410m,hellaswag_val,mink_30,500,500,0.0,0.034,-0.034,-0.05,-0.02,0.0
EleutherAI__pythia-410m,hellaswag_val,mink_50,500,500,0.0,0.034,-0.034,-0.05,-0.02,0.0
EleutherAI__pythia-410m,arc_challenge,mink_5,500,500,0.216,0.224,-0.008000000000000007,-0.05600000000000002,0.045999999999999985,0.419
EleutherAI__pythia-410m,arc_challenge,mink_10,500,500,0.214,0.226,-0.01200000000000001,-0.062,0.038000000000000006,0.3418
EleutherAI__pythia-410m,arc_challenge,mink_20,500,500,0.234,0.206,0.028000000000000025,-0.025999999999999995,0.07800000000000001,0.8738
EleutherAI__pythia-410m,arc_challenge,mink_30,500,500,0.224,0.216,0.008000000000000007,-0.04600000000000001,0.06,0.6532
EleutherAI__pythia-410m,arc_challenge,mink_50,500,500,0.232,0.208,0.02400000000000002,-0.03,0.07600000000000004,0.8474
EleutherAI__pythia-410m,humaneval,mink_5,82,82,0.012195121951219513,0.012195121951219513,0.0,-0.036585365853658534,0.036585365853658534,0.7362
EleutherAI__pythia-410m,humaneval,mink_10,82,82,0.012195121951219513,0.012195121951219513,0.0,-0.036585365853658534,0.036585365853658534,0.742
EleutherAI__pythia-410m,humaneval,mink_20,82,82,0.012195121951219513,0.012195121951219513,0.0,-0.036585365853658534,0.036585365853658534,0.7572
EleutherAI__pythia-410m,humaneval,mink_30,82,82,0.024390243902439025,0.0,0.024390243902439025,0.0,0.06097560975609756,1.0
EleutherAI__pythia-410m,humaneval,mink_50,82,82,0.024390243902439025,0.0,0.024390243902439025,0.0,0.06097560975609756,1.0
EleutherAI__pythia-6.9b,gsm8k_test,mink_5,500,500,0.018,0.018,0.0,-0.016,0.016,0.5954
EleutherAI__pythia-6.9b,gsm8k_test,mink_10,500,500,0.024,0.012,0.012,-0.004,0.028,0.9562
EleutherAI__pythia-6.9b,gsm8k_test,mink_20,500,500,0.018,0.018,0.0,-0.016,0.016,0.5964
EleutherAI__pythia-6.9b,gsm8k_test,mink_30,500,500,0.018,0.018,0.0,-0.016,0.016,0.5988
EleutherAI__pythia-6.9b,gsm8k_test,mink_50,500,500,0.02,0.016,0.004,-0.012049999999999998,0.02,0.7598
EleutherAI__pythia-6.9b,mmlu_test,mink_5,484,485,0.1652892561983471,0.2288659793814433,-0.06357672318309618,-0.11511565987901508,-0.01611144244696261,0.0074
EleutherAI__pythia-6.9b,mmlu_test,mink_10,484,485,0.16322314049586778,0.2309278350515464,-0.06770469455567862,-0.11720211723609102,-0.018155192979466654,0.0058
EleutherAI__pythia-6.9b,mmlu_test,mink_20,484,485,0.16735537190082644,0.2268041237113402,-0.05944875181051376,-0.1110592570503536,-0.009938549032972633,0.013
EleutherAI__pythia-6.9b,mmlu_test,mink_30,484,485,0.17148760330578514,0.22268041237113403,-0.0511928090653489,-0.10073719860270938,-0.0037144287296583456,0.0268
EleutherAI__pythia-6.9b,mmlu_test,mink_50,484,485,0.17355371900826447,0.22061855670103092,-0.047064837692766454,-0.09660070716537444,0.004528414415949561,0.0404
EleutherAI__pythia-6.9b,hellaswag_val,mink_5,500,500,0.054,0.088,-0.033999999999999996,-0.06605,-0.0020000000000000018,0.028
EleutherAI__pythia-6.9b,hellaswag_val,mink_10,500,500,0.036,0.106,-0.07,-0.10200000000000001,-0.038000000000000006,0.0
EleutherAI__pythia-6.9b,hellaswag_val,mink_20,500,500,0.032,0.11,-0.078,-0.11,-0.047999999999999994,0.0
EleutherAI__pythia-6.9b,hellaswag_val,mink_30,500,500,0.022,0.12,-0.098,-0.13,-0.068,0.0
EleutherAI__pythia-6.9b,hellaswag_val,mink_50,500,500,0.03,0.112,-0.082,-0.11399999999999999,-0.052,0.0
EleutherAI__pythia-6.9b,arc_challenge,mink_5,500,500,0.172,0.204,-0.032,-0.08199999999999999,0.015999999999999986,0.1128
EleutherAI__pythia-6.9b,arc_challenge,mink_10,500,500,0.196,0.18,0.016000000000000014,-0.034,0.06204999999999972,0.7712
EleutherAI__pythia-6.9b,arc_challenge,mink_20,500,500,0.19,0.186,0.0040000000000000036,-0.04400000000000001,0.05204999999999974,0.5898
EleutherAI__pythia-6.9b,arc_challenge,mink_30,500,500,0.186,0.19,-0.0040000000000000036,-0.05200000000000002,0.04400000000000001,0.4772
EleutherAI__pythia-6.9b,arc_challenge,mink_50,500,500,0.184,0.192,-0.008000000000000007,-0.05400000000000002,0.04000000000000001,0.4008
EleutherAI__pythia-6.9b,humaneval,mink_5,82,82,0.04878048780487805,0.036585365853658534,0.012195121951219516,-0.04878048780487806,0.07317073170731708,0.7754
EleutherAI__pythia-6.9b,humaneval,mink_10,82,82,0.07317073170731707,0.012195121951219513,0.06097560975609756,0.0,0.12225609756097396,0.994
EleutherAI__pythia-6.9b,humaneval,mink_20,82,82,0.07317073170731707,0.012195121951219513,0.06097560975609756,0.0,0.12195121951219513,0.9932
EleutherAI__pythia-6.9b,humaneval,mink_30,82,82,0.07317073170731707,0.012195121951219513,0.06097560975609756,0.0,0.12195121951219513,0.9928
EleutherAI__pythia-6.9b,humaneval,mink_50,82,82,0.07317073170731707,0.012195121951219513,0.06097560975609756,0.0,0.12195121951219513,0.9928
EleutherAI__pythia-6.9b,mbpp,mink_5,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-6.9b,mbpp,mink_10,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-6.9b,mbpp,mink_20,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-6.9b,mbpp,mink_30,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-6.9b,mbpp,mink_50,250,250,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-6.9b,truthfulqa_mc,mink_5,408,409,0.01715686274509804,0.03178484107579462,-0.014627978330696581,-0.036644853540438185,0.007388896879045018,0.1302
EleutherAI__pythia-6.9b,truthfulqa_mc,mink_10,408,409,0.014705882352941176,0.034229828850855744,-0.019523946497914568,-0.03917388777026703,5.992617095737854e-05,0.058
EleutherAI__pythia-6.9b,truthfulqa_mc,mink_20,408,409,0.014705882352941176,0.034229828850855744,-0.019523946497914568,-0.04154681432475191,6.007598638477128e-05,0.0558
EleutherAI__pythia-6.9b,truthfulqa_mc,mink_30,408,409,0.01715686274509804,0.03178484107579462,-0.014627978330696581,-0.03421799343209166,0.007371068843185195,0.1396
EleutherAI__pythia-6.9b,truthfulqa_mc,mink_50,408,409,0.01715686274509804,0.03178484107579462,-0.014627978330696581,-0.03665084615753392,0.007394889496140755,0.1324
EleutherAI__pythia-70m,gsm8k_test,mink_5,500,500,0.0,0.002,-0.002,-0.006,0.0,0.5038
EleutherAI__pythia-70m,gsm8k_test,mink_10,500,500,0.0,0.002,-0.002,-0.006,0.0,0.4908
EleutherAI__pythia-70m,gsm8k_test,mink_20,500,500,0.0,0.002,-0.002,-0.006,0.0,0.5038
EleutherAI__pythia-70m,gsm8k_test,mink_30,500,500,0.0,0.002,-0.002,-0.006,0.0,0.4908
EleutherAI__pythia-70m,gsm8k_test,mink_50,500,500,0.0,0.002,-0.002,-0.006,0.0,0.4912
EleutherAI__pythia-70m,mmlu_test,mink_5,484,485,0.004132231404958678,0.002061855670103093,0.002070375734855585,-0.004123711340206186,0.008268722842293602,0.8806
EleutherAI__pythia-70m,mmlu_test,mink_10,484,485,0.004132231404958678,0.002061855670103093,0.002070375734855585,-0.004123711340206186,0.008268722842293602,0.8758
EleutherAI__pythia-70m,mmlu_test,mink_20,484,485,0.004132231404958678,0.002061855670103093,0.002070375734855585,-0.004123711340206186,0.010330578512396695,0.8824
EleutherAI__pythia-70m,mmlu_test,mink_30,484,485,0.004132231404958678,0.002061855670103093,0.002070375734855585,-0.004123711340206186,0.010330578512396695,0.8782
EleutherAI__pythia-70m,mmlu_test,mink_50,484,485,0.004132231404958678,0.002061855670103093,0.002070375734855585,-0.004123711340206186,0.008268722842293602,0.8788
EleutherAI__pythia-70m,hellaswag_val,mink_5,500,500,0.002,0.0,0.002,0.0,0.006,1.0
EleutherAI__pythia-70m,hellaswag_val,mink_10,500,500,0.002,0.0,0.002,0.0,0.006,1.0
EleutherAI__pythia-70m,hellaswag_val,mink_20,500,500,0.002,0.0,0.002,0.0,0.006,1.0
EleutherAI__pythia-70m,hellaswag_val,mink_30,500,500,0.002,0.0,0.002,0.0,0.006,1.0
EleutherAI__pythia-70m,hellaswag_val,mink_50,500,500,0.002,0.0,0.002,0.0,0.006,1.0
EleutherAI__pythia-70m,arc_challenge,mink_5,500,500,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,arc_challenge,mink_10,500,500,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,arc_challenge,mink_20,500,500,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,arc_challenge,mink_30,500,500,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,arc_challenge,mink_50,500,500,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,humaneval,mink_5,82,82,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,humaneval,mink_10,82,82,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,humaneval,mink_20,82,82,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,humaneval,mink_30,82,82,0.0,0.0,0.0,0.0,0.0,1.0
EleutherAI__pythia-70m,humaneval,mink_50,82,82,0.0,0.0,0.0,0.0,0.0,1.0
Qwen__Qwen2.5-14B,gsm8k_test,mink_5,500,500,0.008,0.006,0.002,-0.008,0.012,0.7734
Qwen__Qwen2.5-14B,gsm8k_test,mink_10,500,500,0.008,0.006,0.002,-0.008,0.012,0.774
Qwen__Qwen2.5-14B,gsm8k_test,mink_20,500,500,0.008,0.006,0.002,-0.008,0.012,0.778
Qwen__Qwen2.5-14B,gsm8k_test,mink_30,500,500,0.004,0.01,-0.006,-0.016,0.004,0.2318
Qwen__Qwen2.5-14B,gsm8k_test,mink_50,500,500,0.004,0.01,-0.006,-0.016,0.004,0.2246
Qwen__Qwen2.5-14B,gsm8k_test,v2_ensemble,424,48,0.007075471698113208,0.0,0.007075471698113208,0.0,0.01650943396226415,1.0
Qwen__Qwen2.5-14B,mmlu_test,mink_5,484,485,0.7975206611570248,0.7628865979381443,0.03463406321888052,-0.01904266422424809,0.08829343103007592,0.9196
Qwen__Qwen2.5-14B,mmlu_test,mink_10,484,485,0.7747933884297521,0.7855670103092783,-0.01077362187952624,-0.06438676833943942,0.042903212064411764,0.3658
Qwen__Qwen2.5-14B,mmlu_test,mink_20,484,485,0.7644628099173554,0.7958762886597938,-0.03141347874243838,-0.08092378802078895,0.01814369089205073,0.1384
Qwen__Qwen2.5-14B,mmlu_test,mink_30,484,485,0.7706611570247934,0.7896907216494845,-0.019029564624691075,-0.07270192553463409,0.03048905171679306,0.2578
Qwen__Qwen2.5-14B,mmlu_test,mink_50,484,485,0.7727272727272727,0.7876288659793814,-0.014901593252108714,-0.06859504132231409,0.03667493822953053,0.3116
Qwen__Qwen2.5-14B,hellaswag_val,mink_5,500,500,0.906,0.918,-0.01200000000000001,-0.04600000000000004,0.02399999999999991,0.2854
Qwen__Qwen2.5-14B,hellaswag_val,mink_10,500,500,0.928,0.896,0.03200000000000003,0.0,0.06600000000000006,0.9728
Qwen__Qwen2.5-14B,hellaswag_val,mink_20,500,500,0.956,0.868,0.08799999999999997,0.05399999999999994,0.122,1.0
Qwen__Qwen2.5-14B,hellaswag_val,mink_30,500,500,0.956,0.868,0.08799999999999997,0.05394999999999994,0.124,1.0
