model,benchmark,ensemble,n_total,n_clean_lt_0.1,n_mid,n_contam_gt_0.5,frac_contam
EleutherAI/pythia-410m,livecodebench,v2,400,351,49,0,0.0
EleutherAI/pythia-410m,math,v2,1000,842,152,6,0.006
EleutherAI/pythia-410m,math500,v2,500,393,104,3,0.006
EleutherAI/pythia-410m,mbpp,v2,500,444,56,0,0.0
EleutherAI/pythia-410m,mmlu_test,v2,969,969,0,0,0.0
EleutherAI/pythia-410m,truthfulqa_mc,v2,817,749,67,1,0.0012239902080783353
EleutherAI/pythia-6.9b,agieval,v2,999,993,6,0,0.0
EleutherAI/pythia-6.9b,aime2024,v2,90,81,9,0,0.0
EleutherAI/pythia-6.9b,arc_challenge,v2,1000,926,73,1,0.001
EleutherAI/pythia-6.9b,bbh,v2,999,933,66,0,0.0
EleutherAI/pythia-6.9b,gsm8k_test,v2,1000,994,6,0,0.0
EleutherAI/pythia-6.9b,hellaswag_val,v2,1000,1000,0,0,0.0
EleutherAI/pythia-6.9b,humaneval,v2,164,59,102,3,0.018292682926829267
EleutherAI/pythia-6.9b,livecodebench,v2,400,125,263,12,0.03
EleutherAI/pythia-6.9b,math,v2,1000,386,571,43,0.043
EleutherAI/pythia-6.9b,math500,v2,500,190,277,33,0.066
EleutherAI/pythia-6.9b,mbpp,v2,500,316,182,2,0.004
EleutherAI/pythia-6.9b,mmlu_test,v2,969,960,9,0,0.0
EleutherAI/pythia-6.9b,truthfulqa_mc,v2,817,630,182,5,0.006119951040391677
EleutherAI/pythia-70m,agieval,v2,999,999,0,0,0.0
EleutherAI/pythia-70m,aime2024,v2,90,90,0,0,0.0
EleutherAI/pythia-70m,arc_challenge,v2,1000,1000,0,0,0.0
EleutherAI/pythia-70m,bbh,v2,999,999,0,0,0.0
EleutherAI/pythia-70m,gsm8k_test,v2,1000,1000,0,0,0.0
EleutherAI/pythia-70m,hellaswag_val,v2,1000,1000,0,0,0.0
EleutherAI/pythia-70m,humaneval,v2,164,164,0,0,0.0
EleutherAI/pythia-70m,livecodebench,v2,400,400,0,0,0.0
EleutherAI/pythia-70m,math,v2,1000,1000,0,0,0.0
EleutherAI/pythia-70m,math500,v2,500,500,0,0,0.0
EleutherAI/pythia-70m,mbpp,v2,500,500,0,0,0.0
EleutherAI/pythia-70m,mmlu_test,v2,969,969,0,0,0.0
EleutherAI/pythia-70m,truthfulqa_mc,v2,817,817,0,0,0.0
Qwen/Qwen2.5-14B,agieval,v2,999,856,116,27,0.02702702702702703
Qwen/Qwen2.5-14B,aime2024,v2,90,4,21,65,0.7222222222222222
Qwen/Qwen2.5-14B,arc_challenge,v2,1000,767,211,22,0.022
Qwen/Qwen2.5-14B,bbh,v2,999,780,217,2,0.002002002002002002
Qwen/Qwen2.5-14B,gsm8k_test,v2,1000,424,528,48,0.048
Qwen/Qwen2.5-14B,hellaswag_val,v2,1000,995,5,0,0.0
Qwen/Qwen2.5-14B,humaneval,v2,164,2,42,120,0.7317073170731707
Qwen/Qwen2.5-14B,livecodebench,v2,400,36,156,208,0.52
Qwen/Qwen2.5-14B,math,v2,1000,2,96,902,0.902
Qwen/Qwen2.5-14B,math500,v2,500,4,50,446,0.892
Qwen/Qwen2.5-14B,mbpp,v2,500,288,149,63,0.126
Qwen/Qwen2.5-14B,mmlu_test,v2,969,837,123,9,0.009287925696594427
Qwen/Qwen2.5-14B,truthfulqa_mc,v2,817,694,122,1,0.0012239902080783353
Qwen/Qwen2.5-7B,agieval,v2,999,851,119,29,0.02902902902902903
Qwen/Qwen2.5-7B,aime2024,v2,90,5,27,58,0.6444444444444445
Qwen/Qwen2.5-7B,arc_challenge,v2,1000,815,171,14,0.014
Qwen/Qwen2.5-7B,bbh,v2,999,763,223,13,0.013013013013013013
Qwen/Qwen2.5-7B,gsm8k_test,v2,1000,290,630,80,0.08
Qwen/Qwen2.5-7B,hellaswag_val,v2,1000,998,2,0,0.0
Qwen/Qwen2.5-7B,humaneval,v2,164,1,61,102,0.6219512195121951
Qwen/Qwen2.5-7B,livecodebench,v2,400,28,158,214,0.535
Qwen/Qwen2.5-7B,math,v2,1000,2,126,872,0.872
Qwen/Qwen2.5-7B,math500,v2,500,3,60,437,0.874
Qwen/Qwen2.5-7B,mbpp,v2,500,353,100,47,0.094
Qwen/Qwen2.5-7B,mmlu_test,v2,969,832,133,4,0.0041279669762641896
Qwen/Qwen2.5-7B,truthfulqa_mc,v2,817,738,77,2,0.0024479804161566705
allenai/OLMo-2-1124-7B,agieval,v2,999,912,77,10,0.01001001001001001
allenai/OLMo-2-1124-7B,aime2024,v2,90,43,41,6,0.06666666666666667
allenai/OLMo-2-1124-7B,arc_challenge,v2,1000,812,186,2,0.002
allenai/OLMo-2-1124-7B,bbh,v2,999,853,146,0,0.0
allenai/OLMo-2-1124-7B,gsm8k_test,v2,1000,205,669,126,0.126
allenai/OLMo-2-1124-7B,hellaswag_val,v2,1000,1000,0,0,0.0
allenai/OLMo-2-1124-7B,humaneval,v2,164,74,88,2,0.012195121951219513
allenai/OLMo-2-1124-7B,livecodebench,v2,400,66,287,47,0.1175
allenai/OLMo-2-1124-7B,math,v2,1000,58,470,472,0.472
allenai/OLMo-2-1124-7B,math500,v2,500,34,220,246,0.492
allenai/OLMo-2-1124-7B,mbpp,v2,500,477,22,1,0.002
allenai/OLMo-2-1124-7B,mmlu_test,v2,969,914,55,0,0.0
allenai/OLMo-2-1124-7B,truthfulqa_mc,v2,817,479,329,9,0.011015911872705019
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,agieval,v2,999,978,21,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,aime2024,v2,90,65,25,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,arc_challenge,v2,1000,997,3,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,bbh,v2,999,996,3,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,gsm8k_test,v2,1000,956,44,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,hellaswag_val,v2,1000,1000,0,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,humaneval,v2,164,137,27,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,livecodebench,v2,400,231,162,7,0.0175
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,math,v2,1000,396,529,75,0.075
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,math500,v2,500,185,256,59,0.118
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,mbpp,v2,500,498,2,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,mmlu_test,v2,969,968,1,0,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,truthfulqa_mc,v2,817,813,4,0,0.0
google/gemma-2-27b,agieval,v2,999,984,13,2,0.002002002002002002
google/gemma-2-27b,aime2024,v2,90,74,16,0,0.0
google/gemma-2-27b,arc_challenge,v2,1000,984,16,0,0.0
google/gemma-2-27b,bbh,v2,999,994,5,0,0.0
google/gemma-2-27b,gsm8k_test,v2,1000,893,107,0,0.0
google/gemma-2-27b,hellaswag_val,v2,1000,1000,0,0,0.0
google/gemma-2-27b,humaneval,v2,164,89,73,2,0.012195121951219513
google/gemma-2-27b,livecodebench,v2,400,32,247,121,0.3025
google/gemma-2-27b,math,v2,1000,423,419,158,0.158
google/gemma-2-27b,math500,v2,500,192,199,109,0.218
google/gemma-2-27b,mbpp,v2,500,409,78,13,0.026
google/gemma-2-27b,mmlu_test,v2,969,964,5,0,0.0
google/gemma-2-27b,truthfulqa_mc,v2,817,805,12,0,0.0
google/gemma-2-9b,agieval,v2,999,997,2,0,0.0
google/gemma-2-9b,aime2024,v2,90,88,2,0,0.0
google/gemma-2-9b,arc_challenge,v2,1000,997,3,0,0.0
google/gemma-2-9b,bbh,v2,999,998,1,0,0.0
google/gemma-2-9b,gsm8k_test,v2,1000,951,49,0,0.0
google/gemma-2-9b,hellaswag_val,v2,1000,1000,0,0,0.0
google/gemma-2-9b,humaneval,v2,164,149,15,0,0.0
google/gemma-2-9b,livecodebench,v2,400,132,246,22,0.055
google/gemma-2-9b,math,v2,1000,652,260,88,0.088
google/gemma-2-9b,math500,v2,500,288,150,62,0.124
google/gemma-2-9b,mbpp,v2,500,466,31,3,0.006
google/gemma-2-9b,mmlu_test,v2,969,969,0,0,0.0
google/gemma-2-9b,truthfulqa_mc,v2,817,807,10,0,0.0
meta-llama/Llama-3.1-8B,agieval,v2,999,892,102,5,0.005005005005005005
meta-llama/Llama-3.1-8B,aime2024,v2,90,72,16,2,0.022222222222222223
meta-llama/Llama-3.1-8B,arc_challenge,v2,1000,726,260,14,0.014
meta-llama/Llama-3.1-8B,bbh,v2,999,900,99,0,0.0
meta-llama/Llama-3.1-8B,gsm8k_test,v2,1000,827,173,0,0.0
meta-llama/Llama-3.1-8B,hellaswag_val,v2,1000,1000,0,0,0.0
